时间(小时),ke_0.2,ke_0.3,ke_0.5
11.5,13.354373909462213,5.063135516196937,0.8217977052460195
11.600000000000001,13.09070859745287,4.914262385485778,0.7824756325095636
11.700000000000001,12.832205084236884,4.769730294113595,0.7450130824991733
11.8,12.578765705033565,4.629415467783439,0.7093238427247497
11.9,12.330294379465697,4.493197442551936,0.6753255610821309
12.0,12.086696607056213,4.360958993728275,0.6429395840468011
12.100000000000001,11.847879460748196,4.232586064819096,0.6120908007241094
12.200000000000001,11.613751578646138,4.107967696675956,0.5827074926268242
12.3,11.384223154160352,3.986995956985218,0.5547211890451113
12.4,11.159205924721448,3.8695658702249713,0.5280665278695154
12.5,10.938613159218173,3.75557534819946,0.5026811217240598
12.600000000000001,10.722359644299177,3.644925121248707,0.4785054292640935
12.700000000000001,10.510361669667772,3.537518670219314,0.45548263149187046
12.8,10.302537012487742,3.433262159271726,0.4335585129419463
12.9,10.098804921008698,3.3320643695895162,0.4126813475882601
13.0,9.899086097510061,3.233836634047358,0.3928017893251116
13.100000000000001,9.70330268065458,3.138492772886256,0.37387276687511517
13.200000000000001,9.511378227334344,3.0459490304373125,0.35584938297852314
13.3,9.323237694085266,2.9561240129285435,0.3386888177200008
13.4,9.138807418139411,2.8689386274032884,0.3223502358509779
13.5,8.958015098178477,2.784316021773175,0.30679469796800063
13.600000000000001,8.78078977484612,2.702181526023721,0.29198507541007457
13.700000000000001,8.60706181107182,2.622462594586051,0.27788596874074234
13.8,8.436762872254073,2.545088749884248,0.26446362968356274
13.9,8.269825906346597,2.4699915270641135,0.2516858863827242
14.0,8.106185123886968,2.3971044199059235,0.23952207186368937
14.100000000000001,7.945775978003654,2.3263628279206716,0.22794295557202018
14.200000000000001,7.788535144433909,2.2577040046267975,0.21692067787184732
14.3,7.634400501581916,2.191067007001919,0.20642868738879475
14.4,7.4833111106437125,2.1263926461020666,0.19644168108555413
14.5,7.335207195822794,2.06362343883898,0.18693554696168035
14.600000000000001,7.190030124657899,2.0027035609044224,0.17788730927255983
14.700000000000001,7.047722388482236,1.9435788008290196,0.1692750761658652
14.8,6.908227583031399,1.8861965151617999,0.16107798963713585
14.9,6.771490389215342,1.8305055847555682,0.15327617770942567
15.0,6.637456554068081,1.7764563721422364,0.14585070874520142
15.100000000000001,6.506072871887187,1.724000679981449,0.13878354780187604
15.200000000000001,6.377287165573781,1.6730917105650907,0.13205751494550194
15.3,6.25104826818227,1.623684026359732,0.12565624544022186
15.4,6.127306004688033,1.5757335115685298,0.11956415173409368
15.5,6.006011173980034,1.5291973346937566,0.11376638716484047
15.600000000000001,5.887115531084382,1.4840339120807624,0.10824881131195113
15.700000000000001,5.770571769623925,1.4402028724240201,0.1029979569243524
15.8,5.656333504518101,1.397665022215627,0.09800099835559106
15.9,5.544355254926543,1.3563823121166703,0.09324572144111362
16.0,5.434592427439222,1.316317804231679,0.08872049475479322
16.1,5.327001299515197,1.2774356402664957,0.08441424218434661
16.2,5.221539003171607,1.2397010105498703,0.0803164167676952
16.3,5.118163508923842,1.203080123899206,0.0764169757346587
16.400000000000002,5.016833609977523,1.1675401783110098,0.07270635670063406
16.5,4.917508906672321,1.133049332456726,0.06917545496108948
16.6,4.8201497911773705,1.0995766779648188,0.06581560183781901
16.7,4.724717432437634,1.0670922124702242,0.06261854402993809
16.8,4.631173761370241,1.035566813412426,0.059576423924561896
16.900000000000002,4.539481456309557,1.0049722125637577,0.05668176082400788
17.0,4.449603928699481,0.975280971269709,0.05392743304818331
17.1,4.361505309031183,0.94646645638335,0.05130666087257962
17.2,4.275150433024418,0.9185028168762527,0.04881299026398691
17.3,4.19050482805017,0.8913649611085732,0.04644027737766626
17.400000000000002,4.107534699792434,0.8650285347413039,0.044182673781287464
17.5,4.026206919146586,0.8394698992739649,0.04203461237243938
17.6,3.9464890093518514,0.8146661111913754,0.03999079395796855
17.7,3.8683491333551627,0.7905949017034385,0.038046174464789875
17.8,3.7917560814035687,0.7672346570621915,0.03619595275314334
17.900000000000002,3.7166792588624435,0.7445643994407353,0.03443555900455403
18.0,3.643088674256438,0.7225637683589441,0.03276064365797603
18.1,3.570954927530262,0.7012130026412129,0.03116706686878049
18.2,3.500249198526234,0.6804929228918276,0.02965088846637659
18.3,3.430943235675464,0.6603849144738365,0.028208358387333654
18.400000000000002,3.3630093448996368,0.6408709109776796,0.026835907561913085
18.5,3.2964203787201862,0.6219333781661027,0.025530139232908308
18.6,3.2311497255717123,0.6035552983822318,0.024287820686644434
18.7,3.1671712993165286,0.5857201554079967,0.023105875376899773
18.8,3.1044595289570727,0.5684119197603859,0.021981375423381834
18.900000000000002,3.042989348543102,0.551615034413349,0.020911534467227273
19.0,2.9827361872704476,0.5353144009334463,0.01989370086679142
19.1,2.923675959768173,0.5194953660176445,0.018925351217758363
19.200000000000003,2.865785056571039,0.5041437084219734,0.018004084182333187
19.3,2.8090403347740964,0.4892456262700176,0.01712761461297557
19.400000000000002,2.753419108866311,0.47478772473051745,0.01629376795680318
19.5,2.698899141740184,0.46075700405363895,0.015500474927431796
19.6,2.6454586358742276,0.44714084795572373,0.01474576643162844
19.700000000000003,2.5930762246853503,0.43392701234262365,0.014027768738738832
19.8,2.541730964048096,0.4211036143619674,0.013344698881406204
19.900000000000002,2.491402323977777,0.40865912177497027,0.01269486027663199
20.0,2.442070180474594,0.39658234263866227,0.01207663855673749
20.1,2.3937148075258023,0.3848624152896293,0.01148849760027052
20.200000000000003,2.3463168692630934,0.3734887986206329,0.01092897575336624
20.3,2.2998574122723303,0.36245126264168603,0.010396682232513043
20.400000000000002,2.2543178580528664,0.3517398793174036,0.00989029370009796
20.5,2.209679995623698,0.3413450136726738,0.009408551004509743
20.6,2.1659259742737014,0.3312573151589038,0.008950256076962317
20.700000000000003,2.123038296453317,0.32146770927332113,0.008514268977570056
20.8,2.0809998108050345,0.3119673894240084,0.008099505083556212
20.900000000000002,2.0397937053300446,0.30274780903356296,0.007704932412811217
21.0,1.9994035006885624,0.2938006738744678,0.007329569076337012
21.1,1.9598130436312442,0.2851179346294488,0.006972480853417701
21.200000000000003,1.9210065005592685,0.2766917796702934,0.006632778883648317
21.3,1.8829683512106077,0.2685146280487773,0.006309617470229971
21.400000000000002,1.8456833824701073,0.26057912269353345,0.006002191989204506
21.5,1.8091366823010226,0.2528781238068728,0.005709736899553918
21.6,1.7733136337956774,0.2454047024557245,0.005431523849329853
21.700000000000003,1.7381999093429792,0.23815213435104798,0.005166859873208361
21.8,1.7037814649105385,0.23111389381021186,0.0049150856770830455
21.900000000000002,1.670044534439195,0.22428364789700206,0.004675574005518532
22.0,1.6369756243478009,0.21765525073407457,0.004447728088084779
22.1,1.6045615081461075,0.21122273798280733,0.004230980160781805
22.200000000000003,1.5727892211537,0.20498032148566406,0.004024790058945367
22.3,1.5416460553228986,0.19892238406631121,0.0038286438781956578
22.400000000000002,1.5111195541636382,0.19304347448287057,0.003642052700155343
22.5,1.4811975077683412,0.18733830252982875,0.0034645513798194417
22.6,1.4518679479348242,0.18180173428424135,0.003295697391608197
22.700000000000003,1.4231191433853694,0.176428787492009,0.0031350697312763154
22.8,1.3949395950800536,0.1712146270901142,0.0029822678709867383
22.900000000000002,1.367318031622518,0.1661545608608323,0.0028369107649861233
23.0,1.34024340475638,0.161244035214046,0.0026986359034418964
23.1,1.3137048849504978,0.15647863109389923,0.0025670984121174073
23.200000000000003,1.2876918570713725,0.1518540600061439,0.0024419701956733832
23.3,1.2621939161409845,0.14736616016263052,0.00232293912248964
23.400000000000002,1.2372008631783646,0.143010892739503,0.002209708249002238
23.5,1.2127027011233056,0.13878433824575684,0.002101995081647468
23.6,1.1886896308405601,0.1346826929989129,0.0019995308745955984
23.700000000000003,1.1651520472029844,0.13070226570466087,0.0019020599615448097
23.8,1.142080535252054,0.12683947413741156,0.0018093391199286836
23.900000000000002,1.119465866434241,0.12309084191878991,0.0017211369659699285
